time_days,E
0,-1.64597e+35
0.0416667,-1.64597e+35
0.0833333,-1.64597e+35
0.125,-1.64597e+35
0.166667,-1.64597e+35
0.208333,-1.64597e+35
0.25,-1.64597e+35
0.291667,-1.64597e+35
0.333333,-1.64597e+35
0.375,-1.64597e+35
0.416667,-1.64597e+35
0.458333,-1.64597e+35
0.5,-1.64597e+35
0.541667,-1.64597e+35
0.583333,-1.64597e+35
0.625,-1.64597e+35
0.666667,-1.64597e+35
0.708333,-1.64597e+35
0.75,-1.64597e+35
0.791667,-1.64597e+35
0.833333,-1.64597e+35
0.875,-1.64597e+35
0.916667,-1.64597e+35
0.958333,-1.64597e+35
1,-1.64597e+35
1.04167,-1.64597e+35
1.08333,-1.64597e+35
1.125,-1.64597e+35
1.16667,-1.64597e+35
1.20833,-1.64597e+35
1.25,-1.64597e+35
1.29167,-1.64597e+35
1.33333,-1.64597e+35
1.375,-1.64597e+35
1.41667,-1.64597e+35
1.45833,-1.64597e+35
1.5,-1.64597e+35
1.54167,-1.64597e+35
1.58333,-1.64597e+35
1.625,-1.64597e+35
1.66667,-1.64597e+35
1.70833,-1.64597e+35
1.75,-1.64597e+35
1.79167,-1.64597e+35
1.83333,-1.64597e+35
1.875,-1.64597e+35
1.91667,-1.64597e+35
1.95833,-1.64597e+35
2,-1.64597e+35
2.04167,-1.64597e+35
2.08333,-1.64597e+35
2.125,-1.64597e+35
2.16667,-1.64597e+35
2.20833,-1.64597e+35
2.25,-1.64597e+35
2.29167,-1.64597e+35
2.33333,-1.64597e+35
2.375,-1.64597e+35
2.41667,-1.64597e+35
2.45833,-1.64597e+35
2.5,-1.64597e+35
2.54167,-1.64597e+35
2.58333,-1.64597e+35
2.625,-1.64597e+35
2.66667,-1.64597e+35
2.70833,-1.64597e+35
2.75,-1.64597e+35
2.79167,-1.64597e+35
2.83333,-1.64597e+35
2.875,-1.64597e+35
2.91667,-1.64597e+35
2.95833,-1.64597e+35
3,-1.64597e+35
3.04167,-1.64597e+35
3.08333,-1.64597e+35
3.125,-1.64597e+35
3.16667,-1.64597e+35
3.20833,-1.64597e+35
3.25,-1.64597e+35
3.29167,-1.64597e+35
3.33333,-1.64597e+35
3.375,-1.64597e+35
3.41667,-1.64597e+35
3.45833,-1.64597e+35
3.5,-1.64597e+35
3.54167,-1.64597e+35
3.58333,-1.64597e+35
3.625,-1.64597e+35
3.66667,-1.64597e+35
3.70833,-1.64597e+35
3.75,-1.64597e+35
3.79167,-1.64597e+35
3.83333,-1.64597e+35
3.875,-1.64597e+35
3.91667,-1.64597e+35
3.95833,-1.64597e+35
4,-1.64597e+35
4.04167,-1.64597e+35
4.08333,-1.64597e+35
4.125,-1.64597e+35
4.16667,-1.64597e+35
4.20833,-1.64597e+35
4.25,-1.64597e+35
4.29167,-1.64597e+35
4.33333,-1.64597e+35
4.375,-1.64597e+35
4.41667,-1.64597e+35
4.45833,-1.64597e+35
4.5,-1.64597e+35
4.54167,-1.64597e+35
4.58333,-1.64597e+35
4.625,-1.64597e+35
4.66667,-1.64597e+35
4.70833,-1.64597e+35
4.75,-1.64597e+35
4.79167,-1.64597e+35
4.83333,-1.64597e+35
4.875,-1.64597e+35
4.91667,-1.64597e+35
4.95833,-1.64597e+35
5,-1.64597e+35
5.04167,-1.64597e+35
5.08333,-1.64597e+35
5.125,-1.64597e+35
5.16667,-1.64597e+35
5.20833,-1.64597e+35
5.25,-1.64597e+35
5.29167,-1.64597e+35
5.33333,-1.64597e+35
5.375,-1.64597e+35
5.41667,-1.64597e+35
5.45833,-1.64597e+35
5.5,-1.64597e+35
5.54167,-1.64597e+35
5.58333,-1.64597e+35
5.625,-1.64597e+35
5.66667,-1.64597e+35
5.70833,-1.64597e+35
5.75,-1.64597e+35
5.79167,-1.64597e+35
5.83333,-1.64597e+35
5.875,-1.64597e+35
5.91667,-1.64597e+35
5.95833,-1.64597e+35
6,-1.64597e+35
6.04167,-1.64597e+35
6.08333,-1.64597e+35
6.125,-1.64597e+35
6.16667,-1.64597e+35
6.20833,-1.64597e+35
6.25,-1.64597e+35
6.29167,-1.64597e+35
6.33333,-1.64597e+35
6.375,-1.64597e+35
6.41667,-1.64597e+35
6.45833,-1.64597e+35
6.5,-1.64597e+35
6.54167,-1.64597e+35
6.58333,-1.64597e+35
6.625,-1.64597e+35
6.66667,-1.64597e+35
