time_days,E
0,-1.64597e+35
7,-1.64597e+35
14,-1.64597e+35
21,-1.64597e+35
28,-1.64597e+35
35,-1.64597e+35
42,-1.64597e+35
49,-1.64597e+35
56,-1.64597e+35
63,-1.64597e+35
70,-1.64597e+35
77,-1.64597e+35
84,-1.64597e+35
91,-1.64597e+35
98,-1.64597e+35
105,-1.64597e+35
112,-1.64597e+35
119,-1.64597e+35
126,-1.64597e+35
133,-1.64597e+35
140,-1.64597e+35
147,-1.64597e+35
154,-1.64597e+35
161,-1.64597e+35
168,-1.64597e+35
175,-1.64597e+35
182,-1.64597e+35
189,-1.64597e+35
196,-1.64597e+35
203,-1.64597e+35
210,-1.64597e+35
217,-1.64597e+35
224,-1.64597e+35
231,-1.64597e+35
238,-1.64597e+35
245,-1.64597e+35
252,-1.64597e+35
259,-1.64597e+35
266,-1.64597e+35
273,-1.64597e+35
280,-1.64597e+35
287,-1.64597e+35
294,-1.64597e+35
301,-1.64597e+35
308,-1.64597e+35
315,-1.64597e+35
322,-1.64597e+35
329,-1.64597e+35
336,-1.64597e+35
343,-1.64597e+35
350,-1.64597e+35
357,-1.64597e+35
364,-1.64597e+35
371,-1.64597e+35
378,-1.64597e+35
385,-1.64597e+35
392,-1.64597e+35
399,-1.64597e+35
406,-1.64597e+35
413,-1.64597e+35
420,-1.64597e+35
427,-1.64597e+35
434,-1.64597e+35
441,-1.64597e+35
448,-1.64597e+35
455,-1.64597e+35
462,-1.64597e+35
469,-1.64597e+35
476,-1.64597e+35
483,-1.64597e+35
490,-1.64597e+35
497,-1.64597e+35
504,-1.64597e+35
511,-1.64597e+35
518,-1.64597e+35
525,-1.64597e+35
532,-1.64597e+35
539,-1.64597e+35
546,-1.64597e+35
553,-1.64597e+35
560,-1.64597e+35
567,-1.64597e+35
574,-1.64597e+35
581,-1.64597e+35
588,-1.64597e+35
595,-1.64597e+35
602,-1.64597e+35
609,-1.64597e+35
616,-1.64597e+35
623,-1.64597e+35
630,-1.64597e+35
637,-1.64597e+35
644,-1.64597e+35
651,-1.64597e+35
658,-1.64597e+35
665,-1.64597e+35
672,-1.64597e+35
679,-1.64597e+35
686,-1.64597e+35
693,-1.64597e+35
700,-1.64597e+35
707,-1.64597e+35
714,-1.64597e+35
721,-1.64597e+35
728,-1.64597e+35
735,-1.64597e+35
742,-1.64597e+35
749,-1.64597e+35
756,-1.64597e+35
763,-1.64597e+35
770,-1.64597e+35
777,-1.64597e+35
784,-1.64597e+35
791,-1.64597e+35
798,-1.64597e+35
805,-1.64597e+35
812,-1.64597e+35
819,-1.64597e+35
826,-1.64597e+35
833,-1.64597e+35
840,-1.64597e+35
847,-1.64597e+35
854,-1.64597e+35
861,-1.64597e+35
868,-1.64597e+35
875,-1.64597e+35
882,-1.64597e+35
889,-1.64597e+35
896,-1.64597e+35
903,-1.64597e+35
910,-1.64597e+35
917,-1.64597e+35
924,-1.64597e+35
931,-1.64597e+35
938,-1.64597e+35
945,-1.64597e+35
952,-1.64597e+35
959,-1.64597e+35
966,-1.64597e+35
973,-1.64597e+35
980,-1.64597e+35
987,-1.64597e+35
994,-1.64597e+35
1001,-1.64597e+35
1008,-1.64597e+35
1015,-1.64597e+35
1022,-1.64597e+35
1029,-1.64597e+35
1036,-1.64597e+35
1043,-1.64597e+35
1050,-1.64597e+35
1057,-1.64597e+35
1064,-1.64597e+35
1071,-1.64597e+35
1078,-1.64597e+35
1085,-1.64597e+35
1092,-1.64597e+35
1099,-1.64597e+35
1106,-1.64597e+35
1113,-1.64597e+35
1120,-1.64597e+35
1127,-1.64597e+35
1134,-1.64597e+35
1141,-1.64597e+35
1148,-1.64597e+35
1155,-1.64597e+35
1162,-1.64597e+35
1169,-1.64597e+35
1176,-1.64597e+35
1183,-1.64597e+35
1190,-1.64597e+35
1197,-1.64597e+35
1204,-1.64597e+35
